13,21
37,21
60,18
74,26
121,39
14,83
38,77
72,72
102,78
132,77
7,113
31,114
44,114
91,114
132,118
19,176
63,189
101,187
134,188
13,242
50,244
77,249
101,248
132,248
155,250
14,284
39,285
69,289
99,291
144,297
176,301
17,357
51,364
92,363
125,370
162,379
12,431
56,438
92,441
136,445
200,23
270,25
293,25
333,22
357,16
384,18
415,13
447,21
119,54
230,49
257,54
279,64
316,77
331,77
356,77
388,77
414,80
453,77
465,113
496,112
201,145
222,145
252,145
279,146
302,151
320,150
354,151
381,155
408,157
419,143
444,147
484,151
499,211
454,209
392,206
353,205
313,208
261,211
220,219
230,264
280,274
339,280
396,285
447,290
490,294
501,343
463,343
408,345
370,354
304,361
263,371
215,416
256,428
309,437
376,448
430,452
489,453
220,501
270,500
327,501
